Simulation,Time,Algorithm,Cumulative Reward
163,400,UCB,349
163,600,UCB,525
163,800,UCB,706
163,1000,UCB,888
164,200,UCB,174
164,400,UCB,357
164,600,UCB,534
164,800,UCB,710
164,1000,UCB,892
165,200,UCB,165
165,400,UCB,343
165,600,UCB,527
165,800,UCB,700
165,1000,UCB,882
166,200,UCB,170
166,400,UCB,346
166,600,UCB,528
166,800,UCB,705
166,1000,UCB,877
167,200,UCB,170
167,400,UCB,354
167,600,UCB,534
167,800,UCB,710
167,1000,UCB,889
168,200,UCB,171
168,400,UCB,344
168,600,UCB,525
168,800,UCB,704
168,1000,UCB,885
169,200,UCB,180
169,400,UCB,358
169,600,UCB,541
169,800,UCB,722
169,1000,UCB,889
170,200,UCB,177
170,400,UCB,358
170,600,UCB,533
170,800,UCB,713
170,1000,UCB,895
171,200,UCB,172
171,400,UCB,355
171,600,UCB,535
171,800,UCB,720
171,1000,UCB,900
172,200,UCB,168
172,400,UCB,343
172,600,UCB,515
172,800,UCB,695
172,1000,UCB,874
173,200,UCB,173
173,400,UCB,345
173,600,UCB,521
173,800,UCB,705
173,1000,UCB,882
174,200,UCB,172
174,400,UCB,348
174,600,UCB,528
174,800,UCB,710
174,1000,UCB,888
175,200,UCB,173
175,400,UCB,354
175,600,UCB,531
175,800,UCB,712
175,1000,UCB,893
176,200,UCB,172
176,400,UCB,346
176,600,UCB,524
176,800,UCB,704
176,1000,UCB,887
177,200,UCB,175
177,400,UCB,360
177,600,UCB,532
177,800,UCB,712
177,1000,UCB,887
178,200,UCB,174
178,400,UCB,353
178,600,UCB,535
178,800,UCB,705
178,1000,UCB,881
179,200,UCB,171
179,400,UCB,347
179,600,UCB,530
179,800,UCB,707
179,1000,UCB,887
180,200,UCB,175
180,400,UCB,348
180,600,UCB,528
180,800,UCB,698
180,1000,UCB,872
181,200,UCB,174
181,400,UCB,361
181,600,UCB,540
181,800,UCB,720
181,1000,UCB,892
182,200,UCB,173
182,400,UCB,356
182,600,UCB,536
182,800,UCB,717
182,1000,UCB,894
183,200,UCB,174
183,400,UCB,347
183,600,UCB,526
183,800,UCB,700
183,1000,UCB,871
184,200,UCB,174
184,400,UCB,348
184,600,UCB,528
184,800,UCB,706
184,1000,UCB,878
185,200,UCB,180
185,400,UCB,360
185,600,UCB,539
185,800,UCB,716
185,1000,UCB,899
186,200,UCB,173
186,400,UCB,353
186,600,UCB,531
186,800,UCB,711
186,1000,UCB,898
187,200,UCB,172
187,400,UCB,354
187,600,UCB,536
187,800,UCB,715
187,1000,UCB,890
188,200,UCB,181
188,400,UCB,357
188,600,UCB,539
188,800,UCB,719
188,1000,UCB,901
189,200,UCB,168
189,400,UCB,350
189,600,UCB,530
189,800,UCB,712
189,1000,UCB,899
190,200,UCB,174
190,400,UCB,353
190,600,UCB,528
190,800,UCB,715
190,1000,UCB,902
191,200,UCB,179
191,400,UCB,360
191,600,UCB,544
191,800,UCB,717
191,1000,UCB,892
192,200,UCB,170
192,400,UCB,347
192,600,UCB,531
192,800,UCB,711
192,1000,UCB,897
193,200,UCB,165
193,400,UCB,344
193,600,UCB,526
193,800,UCB,706
193,1000,UCB,888
194,200,UCB,176
194,400,UCB,349
194,600,UCB,528
194,800,UCB,712
194,1000,UCB,896
195,200,UCB,184
195,400,UCB,365
195,600,UCB,544
195,800,UCB,732
195,1000,UCB,915
196,200,UCB,177
196,400,UCB,351
196,600,UCB,530
196,800,UCB,714
196,1000,UCB,891
197,200,UCB,169
197,400,UCB,347
197,600,UCB,529
197,800,UCB,704
197,1000,UCB,886
198,200,UCB,174
198,400,UCB,348
198,600,UCB,530
198,800,UCB,709
198,1000,UCB,884
199,200,UCB,173
199,400,UCB,346
199,600,UCB,534
199,800,UCB,712
199,1000,UCB,889
200,200,UCB,166
200,400,UCB,343
200,600,UCB,518
200,800,UCB,701
200,1000,UCB,876
201,200,Thompson Sampling,170
201,400,Thompson Sampling,353
201,600,Thompson Sampling,526
201,800,Thompson Sampling,709
201,1000,Thompson Sampling,885
202,200,Thompson Sampling,180
202,400,Thompson Sampling,360
202,600,Thompson Sampling,537
202,800,Thompson Sampling,720
202,1000,Thompson Sampling,908
203,200,Thompson Sampling,175
203,400,Thompson Sampling,352
203,600,Thompson Sampling,538
203,800,Thompson Sampling,725
203,1000,Thompson Sampling,903
204,200,Thompson Sampling,180
204,400,Thompson Sampling,362
204,600,Thompson Sampling,535
204,800,Thompson Sampling,717
204,1000,Thompson Sampling,894
205,200,Thompson Sampling,182
205,400,Thompson Sampling,357
205,600,Thompson Sampling,534
205,800,Thompson Sampling,716
205,1000,Thompson Sampling,896
206,200,Thompson Sampling,177
206,400,Thompson Sampling,359
206,600,Thompson Sampling,539
206,800,Thompson Sampling,725
206,1000,Thompson Sampling,914
207,200,Thompson Sampling,178
207,400,Thompson Sampling,357
207,600,Thompson Sampling,533
207,800,Thompson Sampling,715
207,1000,Thompson Sampling,897
208,200,Thompson Sampling,182
208,400,Thompson Sampling,363
208,600,Thompson Sampling,537
208,800,Thompson Sampling,719
208,1000,Thompson Sampling,894
209,200,Thompson Sampling,182
209,400,Thompson Sampling,364
209,600,Thompson Sampling,538
209,800,Thompson Sampling,721
209,1000,Thompson Sampling,902
210,200,Thompson Sampling,184
210,400,Thompson Sampling,361
210,600,Thompson Sampling,538
210,800,Thompson Sampling,712
210,1000,Thompson Sampling,891
211,200,Thompson Sampling,183
211,400,Thompson Sampling,365
211,600,Thompson Sampling,545
211,800,Thompson Sampling,727
211,1000,Thompson Sampling,904
212,200,Thompson Sampling,173
212,400,Thompson Sampling,346
212,600,Thompson Sampling,531
212,800,Thompson Sampling,709
212,1000,Thompson Sampling,890
213,200,Thompson Sampling,176
213,400,Thompson Sampling,356
213,600,Thompson Sampling,542
213,800,Thompson Sampling,722
213,1000,Thompson Sampling,901
214,200,Thompson Sampling,166
214,400,Thompson Sampling,349
214,600,Thompson Sampling,529
214,800,Thompson Sampling,702
214,1000,Thompson Sampling,877
215,200,Thompson Sampling,176
215,400,Thompson Sampling,357
215,600,Thompson Sampling,533
215,800,Thompson Sampling,720
215,1000,Thompson Sampling,905
216,200,Thompson Sampling,187
216,400,Thompson Sampling,366
216,600,Thompson Sampling,545
216,800,Thompson Sampling,731
216,1000,Thompson Sampling,914
217,200,Thompson Sampling,173
217,400,Thompson Sampling,354
217,600,Thompson Sampling,531
217,800,Thompson Sampling,710
217,1000,Thompson Sampling,893
218,200,Thompson Sampling,181
218,400,Thompson Sampling,359
218,600,Thompson Sampling,535
218,800,Thompson Sampling,712
218,1000,Thompson Sampling,892
219,200,Thompson Sampling,171
219,400,Thompson Sampling,349
219,600,Thompson Sampling,526
219,800,Thompson Sampling,705
219,1000,Thompson Sampling,886
220,200,Thompson Sampling,180
220,400,Thompson Sampling,359
220,600,Thompson Sampling,545
220,800,Thompson Sampling,728
220,1000,Thompson Sampling,909
221,200,Thompson Sampling,173
221,400,Thompson Sampling,352
221,600,Thompson Sampling,531
221,800,Thompson Sampling,708
221,1000,Thompson Sampling,883
222,200,Thompson Sampling,180
222,400,Thompson Sampling,361
222,600,Thompson Sampling,540
222,800,Thompson Sampling,720
222,1000,Thompson Sampling,901
223,200,Thompson Sampling,177
223,400,Thompson Sampling,358
223,600,Thompson Sampling,536
223,800,Thompson Sampling,722
223,1000,Thompson Sampling,910
224,200,Thompson Sampling,170
224,400,Thompson Sampling,351
224,600,Thompson Sampling,527
224,800,Thompson Sampling,697
224,1000,Thompson Sampling,875
225,200,Thompson Sampling,180
225,400,Thompson Sampling,358
225,600,Thompson Sampling,543
225,800,Thompson Sampling,726
225,1000,Thompson Sampling,910
226,200,Thompson Sampling,174
226,400,Thompson Sampling,346
226,600,Thompson Sampling,530
226,800,Thompson Sampling,707
226,1000,Thompson Sampling,890
227,200,Thompson Sampling,180
227,400,Thompson Sampling,356
227,600,Thompson Sampling,533
227,800,Thompson Sampling,706
227,1000,Thompson Sampling,884
228,200,Thompson Sampling,180
228,400,Thompson Sampling,353
228,600,Thompson Sampling,522
228,800,Thompson Sampling,705
228,1000,Thompson Sampling,884
229,200,Thompson Sampling,180
229,400,Thompson Sampling,355
229,600,Thompson Sampling,532
229,800,Thompson Sampling,713
229,1000,Thompson Sampling,894
230,200,Thompson Sampling,182
230,400,Thompson Sampling,360
230,600,Thompson Sampling,546
230,800,Thompson Sampling,723
230,1000,Thompson Sampling,902
231,200,Thompson Sampling,174
231,400,Thompson Sampling,353
231,600,Thompson Sampling,530
231,800,Thompson Sampling,710
231,1000,Thompson Sampling,889
232,200,Thompson Sampling,181
232,400,Thompson Sampling,361
232,600,Thompson Sampling,541
232,800,Thompson Sampling,718
232,1000,Thompson Sampling,900
233,200,Thompson Sampling,180
233,400,Thompson Sampling,364
233,600,Thompson Sampling,542
233,800,Thompson Sampling,725
233,1000,Thompson Sampling,899
234,200,Thompson Sampling,177
234,400,Thompson Sampling,358
234,600,Thompson Sampling,542
234,800,Thompson Sampling,727
234,1000,Thompson Sampling,912
235,200,Thompson Sampling,171
235,400,Thompson Sampling,347
235,600,Thompson Sampling,522
235,800,Thompson Sampling,705
235,1000,Thompson Sampling,889
236,200,Thompson Sampling,177
236,400,Thompson Sampling,362
236,600,Thompson Sampling,546
236,800,Thompson Sampling,725
236,1000,Thompson Sampling,909
237,200,Thompson Sampling,181
237,400,Thompson Sampling,367
237,600,Thompson Sampling,549
237,800,Thompson Sampling,725
237,1000,Thompson Sampling,904
238,200,Thompson Sampling,187
238,400,Thompson Sampling,362
238,600,Thompson Sampling,535
238,800,Thompson Sampling,712
238,1000,Thompson Sampling,898
239,200,Thompson Sampling,181
239,400,Thompson Sampling,365
239,600,Thompson Sampling,539
239,800,Thompson Sampling,716
239,1000,Thompson Sampling,890
240,200,Thompson Sampling,170
240,400,Thompson Sampling,349
240,600,Thompson Sampling,527
240,800,Thompson Sampling,711
240,1000,Thompson Sampling,892
241,200,Thompson Sampling,175
241,400,Thompson Sampling,360
241,600,Thompson Sampling,537
241,800,Thompson Sampling,710
241,1000,Thompson Sampling,894
242,200,Thompson Sampling,178
242,400,Thompson Sampling,364
242,600,Thompson Sampling,544
242,800,Thompson Sampling,723
242,1000,Thompson Sampling,908
243,200,Thompson Sampling,179
243,400,Thompson Sampling,352
243,600,Thompson Sampling,528
243,800,Thompson Sampling,706
243,1000,Thompson Sampling,888
244,200,Thompson Sampling,166
244,400,Thompson Sampling,339
244,600,Thompson Sampling,514
244,800,Thompson Sampling,694
244,1000,Thompson Sampling,868
245,200,Thompson Sampling,174
245,400,Thompson Sampling,360
245,600,Thompson Sampling,540
245,800,Thompson Sampling,723
245,1000,Thompson Sampling,902
246,200,Thompson Sampling,172
246,400,Thompson Sampling,348
246,600,Thompson Sampling,529
246,800,Thompson Sampling,709
246,1000,Thompson Sampling,892
247,200,Thompson Sampling,177
247,400,Thompson Sampling,356
247,600,Thompson Sampling,539
247,800,Thompson Sampling,717
247,1000,Thompson Sampling,898
248,200,Thompson Sampling,181
248,400,Thompson Sampling,360
248,600,Thompson Sampling,539
248,800,Thompson Sampling,726
248,1000,Thompson Sampling,903
249,200,Thompson Sampling,173
249,400,Thompson Sampling,354
249,600,Thompson Sampling,540
249,800,Thompson Sampling,719
249,1000,Thompson Sampling,903
250,200,Thompson Sampling,185
250,400,Thompson Sampling,357
250,600,Thompson Sampling,534
250,800,Thompson Sampling,712
250,1000,Thompson Sampling,886
251,200,Thompson Sampling,172
251,400,Thompson Sampling,354
251,600,Thompson Sampling,540
251,800,Thompson Sampling,724
251,1000,Thompson Sampling,901
252,200,Thompson Sampling,180
252,400,Thompson Sampling,365
252,600,Thompson Sampling,543
252,800,Thompson Sampling,723
252,1000,Thompson Sampling,905
253,200,Thompson Sampling,180
253,400,Thompson Sampling,354
253,600,Thompson Sampling,531
253,800,Thompson Sampling,714
253,1000,Thompson Sampling,898
254,200,Thompson Sampling,187
254,400,Thompson Sampling,369
254,600,Thompson Sampling,545
254,800,Thompson Sampling,728
254,1000,Thompson Sampling,898
255,200,Thompson Sampling,182
255,400,Thompson Sampling,360
255,600,Thompson Sampling,539
255,800,Thompson Sampling,726
255,1000,Thompson Sampling,906
256,200,Thompson Sampling,179
256,400,Thompson Sampling,350
256,600,Thompson Sampling,532
256,800,Thompson Sampling,715
256,1000,Thompson Sampling,901
257,200,Thompson Sampling,181
257,400,Thompson Sampling,351
257,600,Thompson Sampling,526
257,800,Thompson Sampling,702
257,1000,Thompson Sampling,886
258,200,Thompson Sampling,176
258,400,Thompson Sampling,357
258,600,Thompson Sampling,532
258,800,Thompson Sampling,709
258,1000,Thompson Sampling,887
259,200,Thompson Sampling,174
259,400,Thompson Sampling,357
259,600,Thompson Sampling,533
259,800,Thompson Sampling,713
259,1000,Thompson Sampling,900
260,200,Thompson Sampling,179
260,400,Thompson Sampling,358
260,600,Thompson Sampling,539
260,800,Thompson Sampling,717
260,1000,Thompson Sampling,904
261,200,Thompson Sampling,183
261,400,Thompson Sampling,369
261,600,Thompson Sampling,552
261,800,Thompson Sampling,728
261,1000,Thompson Sampling,907
262,200,Thompson Sampling,176
262,400,Thompson Sampling,355
262,600,Thompson Sampling,533
262,800,Thompson Sampling,706
262,1000,Thompson Sampling,880
263,200,Thompson Sampling,182
263,400,Thompson Sampling,359
263,600,Thompson Sampling,536
263,800,Thompson Sampling,717
263,1000,Thompson Sampling,899
264,200,Thompson Sampling,179
264,400,Thompson Sampling,364
264,600,Thompson Sampling,541
264,800,Thompson Sampling,718
264,1000,Thompson Sampling,901
265,200,Thompson Sampling,172
265,400,Thompson Sampling,351
265,600,Thompson Sampling,536
265,800,Thompson Sampling,710
265,1000,Thompson Sampling,893
266,200,Thompson Sampling,178
266,400,Thompson Sampling,356
266,600,Thompson Sampling,539
266,800,Thompson Sampling,717
266,1000,Thompson Sampling,890
267,200,Thompson Sampling,174
267,400,Thompson Sampling,360
267,600,Thompson Sampling,541
267,800,Thompson Sampling,719
267,1000,Thompson Sampling,899
268,200,Thompson Sampling,178
268,400,Thompson Sampling,354
268,600,Thompson Sampling,536
268,800,Thompson Sampling,716
268,1000,Thompson Sampling,898
269,200,Thompson Sampling,186
269,400,Thompson Sampling,365
269,600,Thompson Sampling,549
269,800,Thompson Sampling,731
269,1000,Thompson Sampling,900
270,200,Thompson Sampling,184
270,400,Thompson Sampling,367
270,600,Thompson Sampling,544
270,800,Thompson Sampling,725
270,1000,Thompson Sampling,908
271,200,Thompson Sampling,178
271,400,Thompson Sampling,363
271,600,Thompson Sampling,544
271,800,Thompson Sampling,731
271,1000,Thompson Sampling,912
272,200,Thompson Sampling,173
272,400,Thompson Sampling,351
272,600,Thompson Sampling,523
272,800,Thompson Sampling,704
272,1000,Thompson Sampling,884
273,200,Thompson Sampling,181
273,400,Thompson Sampling,355
273,600,Thompson Sampling,533
273,800,Thompson Sampling,718
273,1000,Thompson Sampling,895
274,200,Thompson Sampling,179
274,400,Thompson Sampling,356
274,600,Thompson Sampling,537
274,800,Thompson Sampling,719
274,1000,Thompson Sampling,898
275,200,Thompson Sampling,179
275,400,Thompson Sampling,362
275,600,Thompson Sampling,540
275,800,Thompson Sampling,722
275,1000,Thompson Sampling,904
276,200,Thompson Sampling,179
276,400,Thompson Sampling,357
276,600,Thompson Sampling,537
276,800,Thompson Sampling,718
276,1000,Thompson Sampling,900
277,200,Thompson Sampling,183
277,400,Thompson Sampling,370
277,600,Thompson Sampling,544
277,800,Thompson Sampling,726
277,1000,Thompson Sampling,902
278,200,Thompson Sampling,181
278,400,Thompson Sampling,362
278,600,Thompson Sampling,544
278,800,Thompson Sampling,715
278,1000,Thompson Sampling,892
279,200,Thompson Sampling,177
279,400,Thompson Sampling,355
279,600,Thompson Sampling,540
279,800,Thompson Sampling,718
279,1000,Thompson Sampling,899
280,200,Thompson Sampling,182
280,400,Thompson Sampling,358
280,600,Thompson Sampling,539
280,800,Thompson Sampling,709
280,1000,Thompson Sampling,884
281,200,Thompson Sampling,181
281,400,Thompson Sampling,370
281,600,Thompson Sampling,550
281,800,Thompson Sampling,730
281,1000,Thompson Sampling,903
282,200,Thompson Sampling,178
282,400,Thompson Sampling,363
282,600,Thompson Sampling,544
282,800,Thompson Sampling,726
282,1000,Thompson Sampling,904
283,200,Thompson Sampling,179
283,400,Thompson Sampling,354
283,600,Thompson Sampling,533
283,800,Thompson Sampling,708
283,1000,Thompson Sampling,880
284,200,Thompson Sampling,180
284,400,Thompson Sampling,355
284,600,Thompson Sampling,536
284,800,Thompson Sampling,716
284,1000,Thompson Sampling,888
285,200,Thompson Sampling,181
285,400,Thompson Sampling,362
285,600,Thompson Sampling,543
285,800,Thompson Sampling,721
285,1000,Thompson Sampling,905
286,200,Thompson Sampling,180
286,400,Thompson Sampling,361
286,600,Thompson Sampling,540
286,800,Thompson Sampling,721
286,1000,Thompson Sampling,908
287,200,Thompson Sampling,177
287,400,Thompson Sampling,361
287,600,Thompson Sampling,545
287,800,Thompson Sampling,725
287,1000,Thompson Sampling,901
288,200,Thompson Sampling,187
288,400,Thompson Sampling,365
288,600,Thompson Sampling,548
288,800,Thompson Sampling,729
288,1000,Thompson Sampling,910
289,200,Thompson Sampling,174
289,400,Thompson Sampling,357
289,600,Thompson Sampling,538
289,800,Thompson Sampling,721
289,1000,Thompson Sampling,908
290,200,Thompson Sampling,182
290,400,Thompson Sampling,364
290,600,Thompson Sampling,540
290,800,Thompson Sampling,727
290,1000,Thompson Sampling,915
291,200,Thompson Sampling,182
291,400,Thompson Sampling,365
291,600,Thompson Sampling,550
291,800,Thompson Sampling,724
291,1000,Thompson Sampling,900
292,200,Thompson Sampling,176
292,400,Thompson Sampling,355
292,600,Thompson Sampling,541
292,800,Thompson Sampling,722
292,1000,Thompson Sampling,908
293,200,Thompson Sampling,170
293,400,Thompson Sampling,353
293,600,Thompson Sampling,536
293,800,Thompson Sampling,716
293,1000,Thompson Sampling,898
294,200,Thompson Sampling,182
294,400,Thompson Sampling,357
294,600,Thompson Sampling,537
294,800,Thompson Sampling,721
294,1000,Thompson Sampling,905
295,200,Thompson Sampling,191
295,400,Thompson Sampling,373
295,600,Thompson Sampling,554
295,800,Thompson Sampling,742
295,1000,Thompson Sampling,926
296,200,Thompson Sampling,180
296,400,Thompson Sampling,357
296,600,Thompson Sampling,538
296,800,Thompson Sampling,723
296,1000,Thompson Sampling,901
297,200,Thompson Sampling,175
297,400,Thompson Sampling,354
297,600,Thompson Sampling,538
297,800,Thompson Sampling,714
297,1000,Thompson Sampling,897
298,200,Thompson Sampling,180
298,400,Thompson Sampling,357
298,600,Thompson Sampling,540
298,800,Thompson Sampling,720
298,1000,Thompson Sampling,896
299,200,Thompson Sampling,180
299,400,Thompson Sampling,356
299,600,Thompson Sampling,546
299,800,Thompson Sampling,725
299,1000,Thompson Sampling,903
300,200,Thompson Sampling,171
300,400,Thompson Sampling,350
300,600,Thompson Sampling,527
300,800,Thompson Sampling,711
300,1000,Thompson Sampling,887
